,Job Title,Experience,Position,Education,Company Name,Salary Estimate,Location,Rating,Is Remote,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
98,Analyst - Analytics and Data Science,3,SENIOR,BACHELOR,"Blue Cross Blue Shield of Arizona
4.2","$70,000 /yr (est.)",United States,4.2,False,1001 to 5000 Employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,3.9,4.0,4.3,4.0,4.0,2023-05-11 13:44:51.078754
99,Statistical Analyst I,150,-1,MASTER,"Zurich Insurance
4.2","$65,910 /yr (est.)","Schaumburg, IL",4.2,False,10000+ Employees,1872,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),3.8,4.0,4.2,3.8,4.1,2023-05-11 13:44:54.346666
100,Data Scientist (All Levels),3,JUNIOR,BACHELOR,"Noblis
4.5","$115,100 /yr (est.)","Reston, VA",4.5,False,1001 to 5000 Employees,1996,Nonprofit Organization,Business Consulting,Management & Consulting,$100 to $500 million (USD),4.1,4.0,4.5,4.2,4.5,2023-05-11 13:44:58.046004
101,Associate Data Engineer,160,JUNIOR,BACHELOR,"The Travelers Companies, Inc.
4.0","$108,900 /yr (est.)","Hartford, CT",4.0,False,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),4.1,4.1,4.1,3.8,3.9,2023-05-11 13:45:01.377801
102,Data Science Educator - Python (Full Time),-1,-1,BACHELOR,"RStudio
4.9",-1,Remote,4.9,True,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),4.4,4.7,5.0,4.8,4.8,2023-05-11 13:45:04.458275
103,Data Engineer,5,-1,BACHELOR,"LEAFWELL
4.0",-1,Remote,4.0,True,51 to 200 Employees,-1,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.7,3.9,4.2,4.0,4.2,2023-05-11 13:45:07.038124
104,Data Engineer,2,SENIOR,MASTER,"O'Reilly Media
4.0","$124,000 /yr (est.)",Remote,4.0,True,201 to 500 Employees,1978,Company - Private,Education & Training Services,Education,Unknown / Non-Applicable,3.5,3.8,4.1,3.6,4.3,2023-05-11 13:45:13.811316
105,Data Engineer,3,-1,BACHELOR,"DataArt
4.6",-1,Remote,4.6,True,1001 to 5000 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.6,4.4,4.5,2023-05-11 13:45:17.730942
106,AI/ML Engineer,2,-1,BACHELOR,"Avaya
3.6","$122,900 /yr (est.)",Dallas-Fort Worth,3.6,False,5001 to 10000 Employees,2000,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),3.1,3.4,3.5,3.0,3.7,2023-05-11 13:45:20.939500
107,Data Scientist,-1,-1,BACHELOR,"CVS Health
3.1",-1,"Chantilly, VA",3.1,False,10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.1,3.1,2.9,2.7,2.8,2023-05-11 13:45:23.870106
108,"Co-op, Data Engineer",-1,SENIOR,MASTER,Exo Therapeutics,"$131,330 /yr (est.)","Cambridge, MA",-1,False,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 13:45:26.663590
109,Data Analyst,2,-1,BACHELOR,"Moove-it
4.4","$91,474 /yr (est.)","San Francisco, CA",4.4,False,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,4.0,4.7,4.3,4.5,2023-05-11 13:45:28.907093
110,Data Engineer - Data Science & Analytics,5,-1,BACHELOR,"Costco Wholesale
4.0","$117,500 /yr (est.)","Dallas, TX",4.0,False,10000+ Employees,1976,Company - Public,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,3.9,4.3,3.8,3.4,3.3,2023-05-11 13:45:31.592398
111,Data Scientist,3,-1,BACHELOR,"Medicx Health
3.4","$115,000 /yr (est.)",Remote,3.4,True,1 to 50 Employees,2007,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD),3.0,3.0,3.6,2.7,3.4,2023-05-11 13:45:34.484690
