,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
29,"$40,847 /yr (est.)",40847.0,Associate Help Desk Analyst,0,1,0,"Credit Acceptance
3.9",Remote,3.9,1,51,1001 to 5000 Employees,1972,Company - Public,Banking & Lending,Financial Services,$500 million to $1 billion (USD),3.8,4.2,4.2,3.7,4.2,2023-05-22 02:26:13.328065,yr
30,$27.50 /hr (est.),57200.0,Service Desk IT Support Specialist,3,1,1,"Hanger, Inc.
3.5",Remote,3.5,1,162,5001 to 10000 Employees,1861,Company - Private,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.4,3.3,3.5,3.2,3.5,2023-05-22 02:26:16.017914,hr
32,"$45,000 /yr (est.)",45000.0,IT Technician,3,1,-1,"Camden County College
3.6",New Jersey,3.6,0,56,501 to 1000 Employees,1967,College / University,Colleges & Universities,Education,$25 to $100 million (USD),2.9,2.8,3.4,2.9,3.6,2023-05-22 02:26:23.811609,yr
33,"$87,500 /yr (est.)",87500.0,Software Developer,4,1,-1,"Globus family of brands
3.9",Remote,3.9,1,60,201 to 500 Employees,1963,Company - Private,Travel Agencies,Hotels & Travel Accommodation,$25 to $100 million (USD),3.5,3.6,3.8,3.5,3.8,2023-05-22 02:26:27.208686,yr
34,"$44,542 /yr (est.)",44542.0,Desktop Support Analyst 1,2,1,1,"Louisiana State University
3.9","Baton Rouge, LA",3.9,0,-1,-1,-1,-1,-1,-1,-1,3.6,3.2,3.7,3.6,3.8,2023-05-22 02:26:29.927243,yr
35,"$56,534 /yr (est.)",56534.0,Quality Assurance Analyst,0,1,-1,"Dee's Solutions
5.0","Rockwall, TX",5.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,5.0,5.0,5.0,5.0,2023-05-22 02:26:34.174694,yr
36,$32.50 /hr (est.),67600.0,IT Support Technician,2,1,1,"Spring Fertility
3.6","New York, NY",3.6,0,7,201 to 500 Employees,2016,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $25 million (USD),3.7,3.4,3.7,3.3,3.4,2023-05-22 02:26:37.657965,hr
38,"$71,970 /yr (est.)",71970.0,IT Associate Systems Engineer,0,1,1,"EVERSOURCE
3.6","Berlin, CT",3.6,0,57,5001 to 10000 Employees,1966,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,3.7,4.1,3.3,3.2,3.1,2023-05-22 02:26:44.839250,yr
39,"$165,000 /yr (est.)",165000.0,Senior Full-Stack Software Engineer,4,1,0,"Chartbeat
4.2",Remote,4.2,1,14,51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),4.0,4.1,4.7,3.7,4.7,2023-05-22 02:26:48.318848,yr
40,"$120,000 /yr (est.)",120000.0,Software Engineer,8,1,-1,"YSI
3.7","College Park, MD",3.7,0,12,10000+ Employees,2011,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),3.3,3.5,3.5,3.1,3.6,2023-05-22 02:26:51.589884,yr
41,"$41,546 /yr (est.)",41546.0,Desktop Support Technician,0,1,-1,"SUN Behavioral Houston
3.0","Houston, TX",3.0,0,10,1001 to 5000 Employees,2013,Company - Private,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),3.0,3.2,3.0,2.5,3.2,2023-05-22 02:26:54.784933,yr
42,"$57,500 /yr (est.)",57500.0,IT Support Specialist,1,1,0,"Atelier Ten
4.2","New York, NY",4.2,0,33,201 to 500 Employees,1990,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,3.7,3.4,3.8,3.5,3.7,2023-05-22 02:26:58.302477,yr
