,Annual Salary,Experience,Education,Position,Rating,Is Remote,Company Old,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Job Title_Cyber Defense Support Specialist,Job Title_Cyber Incident Management Specialist,"Job Title_Cybersecurity Tools Sustainment Specialist, Lead","Job Title_IA Network Specialist, Infrastructure Operations",Job Title_Insider Threat Engineering Specialist - Network Engineer,Job Title_Predictive Analytics Expert,Job Title_Senior Fraud Specialist,Type of Ownership_-1,Type of Ownership_Company - Private,Type of Ownership_Company - Public,Type of Ownership_Subsidiary or Business Segment,Time Unit_hr,Time Unit_yr,Revenue_-1,Revenue_$1 to $5 billion (USD),Revenue_$10+ billion (USD),Revenue_$5 to $10 billion (USD),Revenue_$5 to $25 million (USD),Revenue_Unknown / Non-Applicable,Company Size_-1,Company Size_1 to 50 Employees,Company Size_10000+ Employees,Company Size_51 to 200 Employees,Location_ CT,Location_ DC,Location_ NM,Location_ OH,Location_ VA
1,85568.0,-1,-1,-1,3.6,0,157,3.5,3.5,3.9,3.4,3.5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2,64458.0,-1,-1,-1,3.9,0,9,3.3,3.3,3.4,3.6,3.9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
3,174100.0,-1,-1,-1,4.2,0,109,4.1,3.9,4.3,3.9,4.3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
4,63334.0,-1,-1,-1,3.4,0,124,3.8,3.3,3.0,2.8,3.5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
6,102000.0,-1,-1,-1,3.9,0,54,3.8,3.6,3.8,3.6,4.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
7,57654.0,-1,-1,-1,5.0,0,7,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
8,48875.0,-1,-1,-1,3.1,0,33,2.9,3.1,3.3,3.0,3.9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
9,125694.4,-1,-1,-1,5.0,0,-1,5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10,86165.0,-1,-1,-1,4.0,0,-1,3.9,4.0,3.9,3.7,4.5,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
