,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
0,SDET/QA,109200.0,4,BACHELOR,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,4.7,4.7,4.5,4.7,4.3,4.5,Fuge Technologies Inc,2023-05-11 14:23:57.972903
1,QA Tester,121680.0,10,MASTER,SENIOR,"Raleigh, NC",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,4.5,4.5,5.0,5.0,5.0,Cloud Shift Technologies LLC,2023-05-11 14:24:00.308882
2,Amanda QA Analyst,119600.0,8,MASTER,-1,Remote,1,1 to 50 Employees,1,2010,13,Business Consulting,Management & Consulting,$5 to $25 million (USD),3,Company - Private,3.9,3.7,3.8,3.5,3.5,3.4,GSK Solutions Inc,2023-05-11 14:24:02.854197
3,QA Tester,98800.0,6,BACHELOR,SENIOR,"Chicago, IL",0,51 to 200 Employees,2,-1,-1,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3,Company - Private,3.7,3.9,3.6,3.9,3.8,3.6,MARVEL TECHNOLOGIES INC,2023-05-11 14:24:05.402835
4,QA Engineer - Entry level,57200.0,2,BACHELOR,SENIOR,"Detroit, MI",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Tresume,2023-05-11 14:24:08.021748
5,QA Manual Tester,114400.0,2,BACHELOR,SENIOR,"Columbus, OH",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,Devcare Solutions,2023-05-11 14:24:10.405845
8,QA Engineer –Remote,119600.0,-1,MASTER,-1,Remote,1,1 to 50 Employees,1,-1,-1,Computer Hardware Development,Information Technology,$1 to $5 million (USD),2,Company - Private,4.3,4.3,4.0,4.3,4.3,4.3,Aries Solutions,2023-05-11 14:24:17.873853
