,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
38,QA Manual Tester,63745.0,-1,-1,-1,"Las Vegas, NV",0,1 to 50 Employees,1,-1,-1,-1,-1,$1 to $5 million (USD),2,Company - Public,4.4,4.2,3.2,4.2,3.2,4.6,"RD Solutions Pvt. Ltd
4.4",2023-05-10 09:48:52.165981
39,QA Engineer - Entry level,57200.0,2,-1,SENIOR,"Richmond, VA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Tresume,2023-05-10 09:48:55.177050
40,"QA Manual Engineer - Hybrid Onsite - Raleigh, NC",98800.0,-1,-1,SENIOR,"Raleigh, NC",0,Unknown,-1,-1,-1,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Private Practice / Firm,4.2,4.0,3.7,4.5,4.4,4.1,"OPENMIND TECHNOLOGIES INC
4.2",2023-05-10 09:48:57.088752
42,Sr. QA Test Analyst,145600.0,7,BACHELOR,-1,"Concord, CA",0,1001 to 5000 Employees,5,-1,-1,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Private,4.5,4.5,4.2,4.5,4.3,4.3,"DiamondPick
4.5",2023-05-10 09:49:01.555430
43,QA Engineer,110294.0,-1,-1,-1,"Chicago, IL",0,Unknown,-1,-1,-1,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.7,4.1,4.0,4.8,4.8,4.8,"Velvetech
4.7",2023-05-10 09:49:04.119039
44,-1,104000.0,-1,-1,-1,-1,0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,-1,2023-05-10 09:49:06.448276
45,QA Analyst,104000.0,-1,-1,SENIOR,"Havana, FL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,IT Heroes Inc,2023-05-10 09:49:09.190167
46,QA Manual Tester,114400.0,-1,-1,SENIOR,"Columbus, OH",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,"Devcare Solutions
3.7",2023-05-10 09:49:10.925607
47,QA Specialists,44760.0,-1,BACHELOR,SENIOR,"Columbia, SC",0,51 to 200 Employees,2,-1,-1,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3,Company - Private,4.0,3.4,4.0,4.0,3.8,3.9,"Versaterm
4.0",2023-05-10 09:49:13.687859
48,QA Engineer,75601.0,3,BACHELOR,SENIOR,"Brookfield, WI",0,501 to 1000 Employees,4,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,5.0,3.7,3.7,3.7,3.3,4.5,"Beta Plus Technologies, Inc
5.0",2023-05-10 09:49:16.782517
49,QA Test Engineer,119600.0,-1,-1,-1,"New York, NY",0,1 to 50 Employees,1,2021,2,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Private,5.0,5.0,5.0,5.0,5.0,5.0,"Ghritachi Inc
5.0",2023-05-10 09:49:19.523497
