,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
42,$62.50 /hr (est.),130000.0,QA Test Automation Engineer,9,2,-1,Tuwa SOLUTIONS, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:30:37.016107,hr
43,"$70,834 /yr (est.)",70834.0,QA Engineer,10,2,-1,CEDENT, CO,5.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:30:42.747561,yr
45,$50.16 /hr (est.),104332.8,SDET Engineer,8,1,-1,Jeevan Technologies,Remote,4.4,1,23,201 to 500 Employees,2000,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.5,4.5,4.5,4.6,4.7,2023-05-24 01:30:50.977412,hr
49,"$101,349 /yr (est.)",101349.0,Senior Data QA Automation Engineer,5,1,0,T. Rowe Price, MD,3.8,0,86,5001 to 10000 Employees,1937,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),3.7,3.8,3.8,3.4,3.8,2023-05-24 01:31:06.100497,yr
51,$47.50 /hr (est.),98800.0,QA Automation Engineer REMOTE,8,1,-1,"Ameriinfovets, Inc.",Remote,5.0,1,7,Unknown,2016,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-05-24 01:31:13.370511,hr
52,"$194,500 /yr (est.)",194500.0,Software QA Engineer,5,1,1,TikTok, CA,3.6,0,7,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.4,3.6,3.5,3.1,3.0,2023-05-24 01:31:17.039599,yr
54,"$93,646 /yr (est.)",93646.0,QA Engineer,5,1,1,Edenred, MA,4.1,0,13,5001 to 10000 Employees,2010,Company - Public,Financial Transaction Processing,Financial Services,$1 to $5 million (USD),3.7,4.0,4.1,3.7,4.0,2023-05-24 01:31:24.308228,yr
55,$45.00 /hr (est.),93600.0,Software Test Engineer,5,2,-1,Nasscomm,Remote,3.7,1,-1,-1,-1,-1,-1,-1,-1,3.2,3.6,2.8,3.3,3.1,2023-05-24 01:31:27.690601,hr
57,$35.00 /hr (est.),72800.0,Quality Engineer,2,1,-1,Synergy Solutions,Remote,2.8,1,-1,-1,-1,-1,-1,-1,-1,2.8,2.6,3.1,2.7,3.1,2023-05-24 01:31:38.505033,hr
58,"$125,000 /yr (est.)",125000.0,Senior QA Engineer,5,1,1,"Climate Vault Solutions, Inc.",Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:31:42.773343,yr
59,$50.00 /hr (est.),104000.0,Manual QA Engineer,5,2,-1,Ryzen Solutions, CA,2.7,0,-1,-1,-1,-1,-1,-1,-1,2.5,2.5,2.0,2.0,3.0,2023-05-24 01:31:48.417358,hr
61,"$83,899 /yr (est.)",83899.0,QA Engineer,0,1,-1,I5 TECH, NJ,3.3,0,-1,-1,-1,-1,-1,-1,-1,3.3,2.9,3.1,3.3,2.8,2023-05-24 01:32:04.344769,yr
62,$60.00 /hr (est.),124800.0,Mobile Automation Engineer,6,2,-1,Codinix INC, NJ,5.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:32:07.674788,hr
64,"$93,335 /yr (est.)",93335.0,QA Automation Engineer,0,2,-1,Synaty Tech, NY,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-24 01:32:15.678865,yr
67,"$109,321 /yr (est.)",109321.0,Software Engineer - QA - CFRT (Remote),0,2,1,Manufacturers Bank, CA,3.2,0,-1,-1,-1,-1,-1,-1,-1,3.4,3.2,3.3,3.2,3.3,2023-05-24 01:32:27.547211,yr
69,"$119,656 /yr (est.)",119656.0,"QA Engineer, Aura",3,1,-1,ironSource, WA,4.2,0,13,501 to 1000 Employees,2010,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.0,4.0,4.1,4.0,4.0,2023-05-24 01:32:34.703724,yr
70,"$71,621 /yr (est.)",71621.0,Junior Manual QA Engineer (RocketCyber),2,2,-1,Kaseya Careers, FL,3.3,0,23,1001 to 5000 Employees,2000,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),3.5,3.3,3.2,3.1,3.1,2023-05-24 01:32:37.443053,yr
71,"$68,000 /yr (est.)",68000.0,Quality Assurance Engineer,1,1,-1,FORVIS,Remote,4.1,1,1,5001 to 10000 Employees,2022,Company - Private,Accounting & Tax,Financial Services,$1 to $5 billion (USD),4.3,3.7,4.3,4.1,3.7,2023-05-24 01:32:41.078424,yr
72,"$107,105 /yr (est.)",107105.0,QA Engineer,5,2,-1,ePayPolicy, TX,4.4,0,9,51 to 200 Employees,2014,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,4.3,4.3,4.5,4.6,4.6,2023-05-24 01:32:44.651898,yr
73,$43.21 /hr (est.),89876.8,Quality Engineer,2,2,1,BEPC Inc, MA,3.7,0,-1,-1,-1,-1,-1,-1,-1,2.3,2.8,3.0,2.6,3.2,2023-05-24 01:32:47.359220,hr
75,$21.00 /hr (est.),43680.0,QA Engineer,-1,-1,-1,DORC Global, NH,2.7,0,-1,-1,-1,-1,-1,-1,-1,1.8,3.6,2.8,1.8,2.7,2023-05-24 01:32:54.813278,hr
76,"$119,282 /yr (est.)",119282.0,Senior Software Engineer QA (remote),0,1,0,Ad Hoc Company Website, DC,4.4,0,9,501 to 1000 Employees,2014,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.2,4.4,4.6,4.3,4.6,2023-05-24 01:32:58.937793,yr
78,"$96,000 /yr (est.)",96000.0,Associate QA Engineer In Test,2,1,0,Workday, CO,4.2,0,18,10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),3.9,4.2,4.3,3.8,4.3,2023-05-24 01:33:06.413605,yr
80,"$116,350 /yr (est.)",116350.0,QA Engineer,3,1,1,Peloton, NY,3.5,0,11,1001 to 5000 Employees,2012,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.1,4.0,3.7,2.9,3.6,2023-05-24 01:33:13.117712,yr
82,"$83,278 /yr (est.)",83278.0,QA Engineer,5,1,-1,Aptiva Corp, NJ,4.1,0,-1,-1,-1,-1,-1,-1,-1,4.2,4.2,4.1,3.9,4.2,2023-05-24 01:33:20.968622,yr
84,$60.00 /hr (est.),124800.0,QA Engineer,8,2,-1,Intone Networks, AZ,4.3,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.2,4.2,3.6,4.2,2023-05-24 01:33:29.196198,hr
85,"$97,048 /yr (est.)",97048.0,Software QA Engineer (Manual Tester),0,2,-1,Sun-Net Inc., CA,4.1,0,23,1 to 50 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.6,3.4,4.1,3.7,4.0,2023-05-24 01:33:32.558349,yr
86,"$92,066 /yr (est.)",92066.0,QA Engineer,0,1,-1,Numerix, NY,4.4,0,27,201 to 500 Employees,1996,Company - Private,Research & Development,Management & Consulting,$25 to $100 million (USD),4.3,4.4,4.5,4.4,4.6,2023-05-24 01:33:35.206959,yr
87,$47.50 /hr (est.),98800.0,Test Data Management Engineer,-1,-1,-1,Virtualan Software LLC,Remote,4.5,1,4,1 to 50 Employees,2019,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD),-1,-1,-1,-1,-1,2023-05-24 01:33:38.444421,hr
91,"$72,460 /yr (est.)",72460.0,Software QA Engineer,5,1,-1,Labcorp, NY,3.7,0,45,10000+ Employees,1978,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.7,3.5,3.7,3.4,3.6,2023-05-24 01:34:01.323726,yr
92,"$70,000 /yr (est.)",70000.0,Manual Software Test Engineer - QA - Dallas,0,1,0,craftable,Texas,4.1,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.7,3.6,3.8,4.0,2023-05-24 01:34:03.997886,yr
93,"$74,673 /yr (est.)",74673.0,Quality Assurance Engineer,5,1,1,Ultra Electronics, NY,3.3,0,103,1001 to 5000 Employees,1920,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),3.1,3.2,3.2,2.8,3.6,2023-05-24 01:34:07.370732,yr
94,"$88,000 /yr (est.)",88000.0,Software Quality Engineer,2,1,1,Maxar Technologies,Remote,3.6,1,-1,-1,-1,-1,-1,-1,-1,3.3,3.5,3.6,3.1,3.8,2023-05-24 01:34:10.098958,yr
96,"$79,084 /yr (est.)",79084.0,Quality Assurance Engineer,3,1,-1,Christie Digital, AZ,3.3,0,94,1001 to 5000 Employees,1929,Company - Private,Audiovisual,"Arts, Entertainment & Recreation",$500 million to $1 billion (USD),2.6,3.3,3.0,2.6,3.4,2023-05-24 01:34:17.844332,yr
97,"$97,841 /yr (est.)",97841.0,QA Engineer,-1,-1,-1,Octo, VA,4.1,0,17,1001 to 5000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.9,3.8,3.9,3.8,4.1,2023-05-24 01:34:20.462074,yr
98,"$101,748 /yr (est.)",101748.0,Quality Assurance Engineer,2,1,-1,Wevision LLC,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:34:23.318685,yr
99,$21.82 /hr (est.),45385.6,Junior Test Engineer,1,1,1,Entech,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:34:28.826639,hr
101,"$102,500 /yr (est.)",102500.0,Manual QA Engineer,3,2,-1,SimplePractice, CA,3.6,0,10,51 to 200 Employees,2013,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.2,3.5,3.6,3.0,4.1,2023-05-24 01:34:37.852800,yr
102,"$40,000 /yr (est.)",40000.0,Junior Test Engineer (BID),8,1,0,Le Fant LLC,Remote,4.5,1,-1,-1,-1,-1,-1,-1,-1,3.8,4.3,4.5,4.5,4.5,2023-05-24 01:34:40.894828,yr
103,"$92,477 /yr (est.)",92477.0,Automation QA Engineer,0,1,-1,SDH Systems, CO,4.7,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.5,4.8,4.8,4.5,2023-05-24 01:34:44.441438,yr
104,"$83,367 /yr (est.)",83367.0,Quality Assurance Engineer,6,1,1,HP, WA,4.2,0,84,10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.8,3.7,4.3,3.8,4.2,2023-05-24 01:34:47.771170,yr
106,"$133,927 /yr (est.)",133927.0,Senior QA Engineer,5,1,1,Anomali, CA,3.9,0,10,201 to 500 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.1,4.3,4.2,3.9,4.1,2023-05-24 01:34:55.717856,yr
107,"$93,500 /yr (est.)",93500.0,"Manual QA Engineer, Behavioral Health Member Platform",2,2,-1,DataArt, TX,4.7,0,26,1001 to 5000 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.6,4.4,4.5,2023-05-24 01:34:58.704784,yr
109,"$100,000 /yr (est.)",100000.0,Software Test Engineer,0,1,-1,OpenDrives,Remote,4.3,1,12,51 to 200 Employees,2011,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.3,4.2,4.3,4.0,3.5,2023-05-24 01:35:06.867381,yr
