,Job Title,Annual Salary,Experience,Education,Position,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
150,Junior AI Engineer,87503.0,1,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
155,Associate Data Engineer,108900.0,12,BACHELOR,JUNIOR,0,7,170,9,4.0,4.1,4.1,4.1,3.8,3.9
156,Analyst - Analytics and Data Science,70000.0,3,BACHELOR,SENIOR,0,5,84,-1,4.2,3.9,4.0,4.3,4.0,4.0
157,Data Scientist,115535.0,5,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
163,Senior Data Engineer,155000.0,5,MASTER,SENIOR,0,5,122,7,4.1,3.8,3.9,4.2,3.8,4.1
178,Senior Data Science Analyst (multiple openings) - IHM,95009.0,2,BACHELOR,SENIOR,0,5,38,4,3.9,3.8,3.8,4.1,3.6,3.9
179,Data Analyst – NLP Data Science (BHJOB22048_676),87395.0,4,BACHELOR,SENIOR,0,1,13,2,4.5,4.0,4.2,4.3,4.3,4.3
180,Junior AI Engineer,87503.0,1,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
186,Data Scientist (All Levels),115100.0,3,BACHELOR,JUNIOR,0,5,27,6,4.5,4.1,4.0,4.5,4.2,4.5
187,Associate Data Engineer,108900.0,12,BACHELOR,JUNIOR,0,7,170,9,4.0,4.1,4.1,4.1,3.8,3.9
188,Senior Data Engineer,130000.0,4,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
191,Data Scientist,107500.0,3,BACHELOR,JUNIOR,1,1,-1,-1,-1,-1,-1,-1,-1,-1
193,Data Science Associate,97500.0,1,BACHELOR,JUNIOR,0,1,8,-1,4.4,4.5,4.6,4.1,4.1,4.6
194,Data Scientist,115535.0,5,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
198,Data Scientist - Hybrid Remote,140000.0,3,BACHELOR,SENIOR,0,5,13,7,4.2,3.8,4.1,4.2,4.1,4.1
199,Data Analytics Analyst,81869.0,3,BACHELOR,SENIOR,0,7,26,7,3.8,3.9,3.9,3.7,3.4,3.7
200,Senior Data Engineer,150000.0,7,BACHELOR,SENIOR,0,-1,-1,-1,4.3,4.7,4.4,4.7,4.4,4.4
207,"Data Scientist, Product Analytics",137500.0,3,MASTER,SENIOR,1,2,10,4,4.5,4.3,4.2,4.5,4.2,4.5
210,Data Scientist,99000.0,4,BACHELOR,SENIOR,1,5,24,7,3.1,3.2,3.0,3.4,2.8,3.4
214,Data Scientist,115535.0,5,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
221,Senior Data Engineer,130000.0,4,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
224,Associate Data Engineer,108900.0,12,BACHELOR,JUNIOR,0,7,170,9,4.0,4.1,4.1,4.1,3.8,3.9
225,Data Scientist,107500.0,3,BACHELOR,JUNIOR,1,1,-1,-1,-1,-1,-1,-1,-1,-1
226,Data Scientist,221500.0,3,BACHELOR,SENIOR,1,7,12,7,3.2,2.5,3.1,3.1,2.6,3.6
227,Data Scientist (All Levels),115100.0,3,BACHELOR,JUNIOR,0,5,27,6,4.5,4.1,4.0,4.5,4.2,4.5
234,Data Scientist,100000.0,2,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
236,"Data Scientist, Product Analytics",137500.0,3,MASTER,SENIOR,1,2,10,4,4.5,4.3,4.2,4.5,4.2,4.5
240,Data Scientist,99000.0,4,BACHELOR,SENIOR,1,5,24,7,3.1,3.2,3.0,3.4,2.8,3.4
244,Data Scientist (All Levels),115100.0,3,BACHELOR,JUNIOR,0,5,27,6,4.5,4.1,4.0,4.5,4.2,4.5
247,Data Scientist,115535.0,5,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
