,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
171,"$150,000 /yr (est.)",150000.0,Senior Engineer Big Data,5,1,1,"Amex
4.2", AZ,4.2,0,173,10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Services,$10+ billion (USD),3.9,4.0,4.3,3.9,4.1,2023-05-23 17:06:39.984861,yr
172,"$108,898 /yr (est.)",108898.0,Big Data Engineer,0,2,1,"Alt Shift USA
4.0", TX,4.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.6,4.0,4.0,4.0,2023-05-23 17:06:43.151363,yr
173,"$117,500 /yr (est.)",117500.0,Jr data engineer,-1,-1,-1,"Kalani Consulting
5.0",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,4.0,5.0,5.0,5.0,5.0,2023-05-23 17:06:47.635640,yr
174,$75.00 /hr (est.),156000.0,Data Engineer,8,1,-1,"BigLynx Computer Software
4.9", WA,4.9,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.6,4.8,4.9,4.8,2023-05-23 17:07:02.288537,hr
175,$43.38 /hr (est.),90230.4,Data Engineer,10,1,1,"Infomatics Corp
4.7",Remote,4.7,1,18,51 to 200 Employees,2005,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),4.7,4.5,4.6,4.6,4.6,2023-05-23 17:07:07.155246,hr
176,$75.00 /hr (est.),156000.0,AWS Data Engineer(Tech Lead),8,2,1,"BigLynx Computer Software
4.9", WA,4.9,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.6,4.8,4.9,4.8,2023-05-23 17:07:10.987232,hr
177,"$96,680 /yr (est.)",96680.0,Data Engineer,3,1,1,"AvidXchange
3.7", CA,3.7,0,23,1001 to 5000 Employees,2000,Company - Public,Software Development,Information Technology,$100 to $500 million (USD),3.7,3.6,3.8,3.4,3.9,2023-05-23 17:07:15.272131,yr
178,$86.00 /hr (est.),178880.0,Senior Big Data Engineer,3,1,-1,"ASA
3.6", TX,3.6,0,24,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),3.6,3.4,3.5,3.6,3.5,2023-05-23 17:07:18.628379,hr
179,"$85,000 /yr (est.)",85000.0,Data Engineer (Junior),3,1,-1,Schober Consulting LLC, MN,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:07:22.173674,yr
180,"$119,000 /yr (est.)",119000.0,Data Engineer,0,2,1,"MCG Health
4.6", WA,4.6,0,35,201 to 500 Employees,1988,Subsidiary or Business Segment,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,4.3,4.4,4.6,4.5,4.5,2023-05-23 17:07:28.223990,yr
181,"$110,441 /yr (est.)",110441.0,Senior AWS Data Engineer,10,1,1,"JSR Tech Consulting
5.0", NJ,5.0,0,8,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),5.0,4.0,5.0,5.0,5.0,2023-05-23 17:07:32.110898,yr
182,"$97,837 /yr (est.)",97837.0,Data Engineer,0,1,-1,"Southern Glazer’s Wine and Spirits
3.6", TX,3.6,0,55,10000+ Employees,1968,Company - Private,Wholesale,Retail & Wholesale,$10+ billion (USD),3.5,3.6,3.4,3.2,3.3,2023-05-23 17:07:35.429638,yr
183,"$92,902 /yr (est.)",92902.0,Data Engineer,0,1,1,"American Power & Gas
2.5", FL,2.5,0,13,201 to 500 Employees,2010,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$100 to $500 million (USD),2.6,2.8,2.4,2.7,2.7,2023-05-23 17:07:39.381598,yr
184,$62.50 /hr (est.),130000.0,Data Engineer,11,2,-1,"Okaya infocom
4.0", NJ,4.0,0,17,Unknown,2006,Self-employed,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.7,3.8,3.9,3.5,3.8,2023-05-23 17:07:43.580613,hr
185,$72.50 /hr (est.),150800.0,Big Data Engineer,1,2,1,"Fuge Technologies Inc
4.7", NJ,4.7,0,-1,-1,-1,-1,-1,-1,-1,4.7,4.5,4.7,4.3,4.5,2023-05-23 17:07:46.665293,hr
186,"$117,500 /yr (est.)",117500.0,Jr data engineer,3,1,-1,"Kalani Consulting
5.0",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,4.0,5.0,5.0,5.0,5.0,2023-05-23 17:07:50.556276,yr
187,$75.00 /hr (est.),156000.0,Senior Data Engineer,9,2,-1,"Stellar Inc.
2.0", TX,2.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,2.0,3.0,2.0,1.0,2023-05-23 17:07:54.818547,hr
188,"$115,231 /yr (est.)",115231.0,Big Data Engineer,0,1,-1,Softwhiz, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:07:59.822613,yr
189,"$85,000 /yr (est.)",85000.0,Data Engineer,-1,-1,-1,DocsInk LLC, NC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:08:05.799028,yr
190,$57.50 /hr (est.),119600.0,AWS Data Engineer,5,1,1,Sthavirsoft Inc, NJ,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:08:11.221863,hr
191,$60.00 /hr (est.),124800.0,Big Data Engineer,8,2,-1,keasis Inc, DE,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:08:17.204383,hr
192,"$83,685 /yr (est.)",83685.0,SQL Data Engineer - Snowflake,6,2,-1,"Perceptive Recruiting, LLC", SC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:08:23.166934,yr
193,$61.87 /hr (est.),128689.6,Data Engineer,6,1,-1,DataPattern, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:08:29.483887,hr
194,$42.50 /hr (est.),88400.0,Snowflake Data Engineer,5,1,-1,Futuretech Consultants LLC, MS,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:08:35.341994,hr
197,"$95,595 /yr (est.)",95595.0,Data Analytics Engineer - SOCOM,-1,-1,-1,"Barbaricum
3.9", FL,3.9,0,15,51 to 200 Employees,2008,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),3.6,3.8,4.1,3.8,3.5,2023-05-23 17:08:54.023063,yr
