,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
534,$30.00 /hr (est.),62400.0,Scripting and Programming Foundations (Complex)|| Fresher,5,1,1,"Hurix Digital
3.2",Remote,3.2,1,23,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,2023-05-22 08:50:39.868169,hr
535,"$98,930 /yr (est.)",98930.0,Software and Data Junior Engineer,0,1,0,"MIT
4.3","Cambridge, MA",4.3,0,162,10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),4.2,3.7,4.1,3.7,3.6,2023-05-22 08:50:44.690781,yr
537,$30.00 /hr (est.),62400.0,Web Development Foundations (Complex) || Fresher,5,1,1,"Hurix Digital
3.2",Remote,3.2,1,23,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,2023-05-22 08:50:55.940692,hr
538,"$93,000 /yr (est.)",93000.0,"Software Engineer - Parallel Computing, AWS (Hybrid - 3 Days in Office)",0,1,0,"Freddie Mac
3.4","McLean, VA",3.4,0,53,5001 to 10000 Employees,1970,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.3,3.6,3.4,2.6,3.4,2023-05-22 08:51:00.711788,yr
539,"$71,034 /yr (est.)",71034.0,"IT Analyst I, Cybersecurity",3,1,-1,"AGCO
3.9","Duluth, GA",3.9,0,33,10000+ Employees,1990,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.6,3.6,3.3,3.5,2023-05-22 08:51:05.356702,yr
541,$71.50 /hr (est.),148720.0,DATA ENGINEER,0,1,-1,"STAND 8
4.4",Remote,4.4,1,-1,-1,-1,-1,-1,-1,-1,4.0,4.1,4.7,4.7,4.4,2023-05-22 08:51:18.819980,hr
543,$82.50 /hr (est.),171600.0,Cloud Transformation Consultant,1,1,1,"Synovize
5.0",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-22 08:51:29.456233,hr
544,"$118,600 /yr (est.)",118600.0,Cloud DevOps Engineer,0,1,1,"Southwest Airlines
4.1","Dallas, TX",4.1,0,56,10000+ Employees,1967,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),4.1,4.2,4.0,3.5,3.6,2023-05-22 08:51:35.568202,yr
546,"$88,750 /yr (est.)",88750.0,Jr Software Engineer,3,1,0,"webfx.com
4.3","Ann Arbor, MI",4.3,0,28,501 to 1000 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.4,4.3,4.1,2023-05-22 08:51:45.686903,yr
548,"$160,000 /yr (est.)",160000.0,AWS Cloud Engineer,4,1,-1,"DSM Infocom
2.5","Bethesda, MD",2.5,0,-1,-1,-1,-1,-1,-1,-1,2.7,2.1,2.6,2.4,2.5,2023-05-22 08:51:57.197595,yr
549,"$176,675 /yr (est.)",176675.0,Senior Data Analyst,5,1,1,"Coinbase
3.7",Remote,3.7,1,11,501 to 1000 Employees,2012,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.7,4.5,3.6,3.2,3.5,2023-05-22 08:52:02.901767,yr
551,$67.50 /hr (est.),140400.0,Cloud Engineer,5,2,-1,CloudXoo,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 08:52:24.264862,hr
552,$75.00 /hr (est.),156000.0,Data Engineer,8,1,-1,"BigLynx Computer Software
4.9","Redmond, WA",4.9,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.5,4.8,4.9,4.8,2023-05-22 08:52:31.620449,hr
553,"$75,000 /yr (est.)",75000.0,JR. CYBERSECURITY ANALYST,0,1,-1,"VSolvit
4.0",United States,4.0,0,17,201 to 500 Employees,2006,Company - Private,National Agencies,Government & Public Administration,$25 to $100 million (USD),3.6,3.5,4.1,3.8,4.1,2023-05-22 08:52:37.342044,yr
554,"$75,000 /yr (est.)",75000.0,Junior Cloud Engineer,0,1,0,"Technergetics
5.0","Utica, NY",5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-22 08:52:42.361962,yr
555,$50.00 /hr (est.),104000.0,Remote - SQL Developer,-1,-1,-1,First-Tek Inc,"New York, NY",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 08:52:50.116997,hr
558,"$110,147 /yr (est.)",110147.0,Software Engineer - Remote,2,1,1,"Mayo Clinic
3.9","Rochester, MN",3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.8,3.9,3.4,3.5,2023-05-22 08:53:15.130224,yr
560,$60.00 /hr (est.),124800.0,DevOps Engineer,7,1,-1,"Maven Workforce Pvt. Ltd.
4.1","Berkeley Heights, NJ",4.1,0,15,51 to 200 Employees,2008,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.0,4.3,4.3,4.1,2023-05-22 08:53:28.607042,hr
561,$77.50 /hr (est.),161200.0,Cloud Infrastructure Engineer,-1,-1,-1,"Devcare Solutions
3.7","Trenton, NJ",3.7,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,2023-05-22 08:53:33.707642,hr
562,$19.00 /hr (est.),39520.0,Cyber Security and Cloud Computing Tutor,0,1,-1,"Georgetown Learning Centers
4.2",Remote,4.2,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.5,3.9,3.7,3.3,2023-05-22 08:53:43.548706,hr
564,$30.00 /hr (est.),62400.0,Web Development Foundations (Complex) || Fresher,5,1,1,"Hurix Digital
3.2",Remote,3.2,1,23,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,2023-05-22 08:53:56.398072,hr
565,"$98,930 /yr (est.)",98930.0,Software and Data Junior Engineer,0,1,0,"MIT
4.3","Cambridge, MA",4.3,0,162,10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),4.2,3.7,4.1,3.7,3.6,2023-05-22 08:54:01.337437,yr
