,Salary Estimate,Annual Salary,Job Title,Experience,Education,Company Name,Location,Rating,Is Remote,Company Size,Company Old,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit,Type of Ownership Scale,Sector Scale,Company Size Scale,Revenue Scale,Industry Sector
154,"$167,000 /yr (est.)",167000.0,Frontend Software Engineer,-1,-1,Zillow,Remote,3.9,1,5001 to 10000 Employees,18,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 15:09:44.785652,yr,2.0,19.0,6.0,7.0,34.0
155,"$167,000 /yr (est.)",167000.0,Frontend Software Engineer,-1,-1,Zillow,Remote,3.9,1,5001 to 10000 Employees,18,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 15:09:46.378797,yr,2.0,19.0,6.0,7.0,34.0
156,"$167,000 /yr (est.)",167000.0,Frontend Software Engineer,-1,-1,Zillow,Remote,3.9,1,5001 to 10000 Employees,18,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 15:09:48.000750,yr,2.0,19.0,6.0,7.0,34.0
163,"$96,997 /yr (est.)",96997.0,Software Engineer I (NST),-1,1,Nintendo,"Redmond, WA",4.5,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.1,4.3,4.0,3.9,2023-05-17 15:10:38.095686,yr,,,,,
164,"$96,997 /yr (est.)",96997.0,Software Engineer I (NST),-1,1,Nintendo,"Redmond, WA",4.5,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.1,4.3,4.0,3.9,2023-05-17 15:10:43.817952,yr,,,,,
165,"$207,000 /yr (est.)",207000.0,"Software Engineer, Front End",6,1,Meta,Remote,3.9,1,10000+ Employees,19,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-05-17 15:10:48.702449,yr,2.0,1.0,7.0,9.0,1.0
166,"$207,000 /yr (est.)",207000.0,"Software Engineer, Front End",6,1,Meta,Remote,3.9,1,10000+ Employees,19,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-05-17 15:10:51.084000,yr,2.0,1.0,7.0,9.0,1.0
167,"$70,000 /yr (est.)",70000.0,Jr Frontend Developer,10,1,Modernize Home Services,"Austin, TX",4.1,0,51 to 200 Employees,18,2005,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.1,4.0,4.3,4.1,4.2,2023-05-17 15:10:52.960782,yr,1.0,1.0,2.0,,1.0
168,"$70,000 /yr (est.)",70000.0,Jr Frontend Developer,10,1,Modernize Home Services,"Austin, TX",4.1,0,51 to 200 Employees,18,2005,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.1,4.0,4.3,4.1,4.2,2023-05-17 15:10:56.012378,yr,1.0,1.0,2.0,,1.0
169,"$70,000 /yr (est.)",70000.0,Jr Frontend Developer,10,1,Modernize Home Services,"Austin, TX",4.1,0,51 to 200 Employees,18,2005,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.1,4.0,4.3,4.1,4.2,2023-05-17 15:10:58.431245,yr,1.0,1.0,2.0,,1.0
170,"$70,000 /yr (est.)",70000.0,Jr Frontend Developer,10,1,Modernize Home Services,"Austin, TX",4.1,0,51 to 200 Employees,18,2005,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.1,4.0,4.3,4.1,4.2,2023-05-17 15:11:00.378033,yr,1.0,1.0,2.0,,1.0
171,"$106,764 /yr (est.)",106764.0,Software Engineer,-1,1,Sparrow,"San Francisco, CA",3.8,0,51 to 200 Employees,5,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.8,3.7,4.2,3.9,3.6,2023-05-17 15:11:02.801558,yr,1.0,1.0,2.0,,1.0
172,"$106,764 /yr (est.)",106764.0,Software Engineer,-1,1,Sparrow,"San Francisco, CA",3.8,0,51 to 200 Employees,5,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.8,3.7,4.2,3.9,3.6,2023-05-17 15:11:05.566718,yr,1.0,1.0,2.0,,1.0
173,"$91,500 /yr (est.)",91500.0,Junior Software Developer,-1,1,Vetro Tech Inc,"Chicago, IL",3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.9,3.4,3.4,3.9,2023-05-17 15:11:08.124848,yr,,,,,
174,"$91,500 /yr (est.)",91500.0,Junior Software Developer,-1,1,Vetro Tech Inc,"Chicago, IL",3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.9,3.4,3.4,3.9,2023-05-17 15:11:12.961861,yr,,,,,
175,"$91,500 /yr (est.)",91500.0,Junior Software Developer,-1,1,Vetro Tech Inc,"Chicago, IL",3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.9,3.4,3.4,3.9,2023-05-17 15:11:17.749081,yr,,,,,
176,"$80,000 /yr (est.)",80000.0,Frontend Engineer (Remote),2,1,Leaf Logistics,Remote,4.0,1,1 to 50 Employees,6,2017,Company - Private,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,3.9,4.2,3.9,3.8,4.5,2023-05-17 15:11:23.033467,yr,1.0,13.0,1.0,,24.0
177,"$80,000 /yr (est.)",80000.0,Frontend Engineer (Remote),2,1,Leaf Logistics,Remote,4.0,1,1 to 50 Employees,6,2017,Company - Private,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,3.9,4.2,3.9,3.8,4.5,2023-05-17 15:11:25.029226,yr,1.0,13.0,1.0,,24.0
178,"$80,000 /yr (est.)",80000.0,Frontend Engineer (Remote),2,1,Leaf Logistics,Remote,4.0,1,1 to 50 Employees,6,2017,Company - Private,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,3.9,4.2,3.9,3.8,4.5,2023-05-17 15:11:27.197895,yr,1.0,13.0,1.0,,24.0
179,"$80,000 /yr (est.)",80000.0,Frontend Engineer (Remote),2,1,Leaf Logistics,Remote,4.0,1,1 to 50 Employees,6,2017,Company - Private,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,3.9,4.2,3.9,3.8,4.5,2023-05-17 15:11:29.504604,yr,1.0,13.0,1.0,,24.0
