,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
30,"$50,935 /yr (est.)",50935.0,Agronomy Technology Specialist,2,1,1,Evergreen FS, IL,5.0,0,97,201 to 500 Employees,1926,Company - Private,Farm Support,Agriculture,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-05-25 11:27:46.124612,yr
31,"$74,270 /yr (est.)",74270.0,Product Training Manager,3,1,1,Doosan Bobcat, ND,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.5,3.5,3.2,3.8,2023-05-25 11:27:48.178853,yr
32,"$54,852 /yr (est.)",54852.0,Commodity Marketing Specialist,2,1,1,Kentucky Farm Bureau Mutual Insurance Company, KY,3.8,0,80,501 to 1000 Employees,1943,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),3.6,3.3,4.4,4.1,4.1,2023-05-25 11:27:52.023581,yr
34,"$66,123 /yr (est.)",66123.0,Marketing Manager,8,1,1,Mira Safety, TX,4.4,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.4,4.4,4.3,4.5,2023-05-25 11:27:57.606363,yr
36,"$79,849 /yr (est.)",79849.0,"Consultant, Climate Change and Geospatial Solutions (Associate Level)",5,1,0,ERM Group, DC,3.7,0,52,5001 to 10000 Employees,1971,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),3.7,3.1,3.9,3.4,3.4,2023-05-25 11:28:07.021224,yr
37,"$71,665 /yr (est.)",71665.0,Strategic Sourcing Specialist - Metals,4,1,1,"Mayville Engineering Company, Inc.", WI,3.2,0,77,1001 to 5000 Employees,1946,Company - Public,Machinery Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.2,2.7,3.2,2.5,2.6,2023-05-25 11:28:10.338512,yr
39,"$134,325 /yr (est.)",134325.0,IT Procurement Senior Manager,10,1,1,PepsiCo, NY,4.0,0,58,10000+ Employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.9,3.9,3.6,3.5,2023-05-25 11:28:17.566247,yr
42,"$71,324 /yr (est.)",71324.0,Senior Benefits Analyst,-1,-1,-1,AgFirst Farm Credit Bank, SC,4.3,0,107,201 to 500 Employees,1916,Company - Private,Banking & Lending,Financial Services,$500 million to $1 billion (USD),4.1,4.5,4.2,4.2,4.2,2023-05-25 11:28:26.307852,yr
43,"$74,270 /yr (est.)",74270.0,Senior Product Training Instructor,3,1,1,Doosan Bobcat, CO,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.5,3.5,3.2,3.8,2023-05-25 11:28:28.323788,yr
44,"$109,139 /yr (est.)",109139.0,"Sr. Engineer, NROC Water Treatment & Utilities",0,2,1,Nutrien, CO,4.3,0,5,10000+ Employees,2018,Company - Public,Farm Support,Agriculture,$5 to $10 billion (USD),4.0,4.1,4.1,3.8,3.9,2023-05-25 11:28:32.070275,yr
45,"$130,092 /yr (est.)",130092.0,Orbia - Treasury Director,5,1,1,Orbia, MA,3.8,0,70,10000+ Employees,1953,Company - Public,Chemical Manufacturing,Manufacturing,$10+ billion (USD),3.3,3.9,3.9,3.6,3.6,2023-05-25 11:28:34.935046,yr
46,"$196,613 /yr (est.)",196613.0,"Physician: Medical Oncologist, Twin Falls",0,2,-1,St. Luke's Health System, ID,3.9,0,121,10000+ Employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.8,3.6,3.8,3.5,3.8,2023-05-25 11:28:37.907486,yr
47,"$50,935 /yr (est.)",50935.0,Agronomy Technology Specialist,2,1,1,Evergreen FS, IL,5.0,0,97,201 to 500 Employees,1926,Company - Private,Farm Support,Agriculture,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-05-25 11:28:47.380315,yr
48,"$74,270 /yr (est.)",74270.0,Product Training Manager,3,1,1,Doosan Bobcat, ND,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.5,3.5,3.2,3.8,2023-05-25 11:28:49.635900,yr
49,"$54,852 /yr (est.)",54852.0,Commodity Marketing Specialist,2,1,1,Kentucky Farm Bureau Mutual Insurance Company, KY,3.8,0,80,501 to 1000 Employees,1943,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),3.6,3.3,4.4,4.1,4.1,2023-05-25 11:28:52.615967,yr
51,"$66,123 /yr (est.)",66123.0,Marketing Manager,8,1,1,Mira Safety, TX,4.4,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.4,4.4,4.3,4.5,2023-05-25 11:28:58.353720,yr
53,"$79,849 /yr (est.)",79849.0,"Consultant, Climate Change and Geospatial Solutions (Associate Level)",5,1,0,ERM Group, DC,3.7,0,52,5001 to 10000 Employees,1971,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),3.7,3.1,3.9,3.4,3.4,2023-05-25 11:29:05.947783,yr
54,"$71,665 /yr (est.)",71665.0,Strategic Sourcing Specialist - Metals,4,1,1,"Mayville Engineering Company, Inc.", WI,3.2,0,77,1001 to 5000 Employees,1946,Company - Public,Machinery Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.2,2.7,3.2,2.5,2.6,2023-05-25 11:29:08.376914,yr
56,"$134,325 /yr (est.)",134325.0,IT Procurement Senior Manager,-1,-1,-1,PepsiCo, NY,4.0,0,58,10000+ Employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.9,3.9,3.6,3.5,2023-05-25 11:29:14.542841,yr
59,"$71,324 /yr (est.)",71324.0,Senior Benefits Analyst,5,1,1,AgFirst Farm Credit Bank, SC,4.3,0,107,201 to 500 Employees,1916,Company - Private,Banking & Lending,Financial Services,$500 million to $1 billion (USD),4.1,4.5,4.2,4.2,4.2,2023-05-25 11:29:24.018353,yr
60,"$74,270 /yr (est.)",74270.0,Senior Product Training Instructor,3,1,1,Doosan Bobcat, CO,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.5,3.5,3.2,3.8,2023-05-25 11:29:28.074939,yr
61,"$109,139 /yr (est.)",109139.0,"Sr. Engineer, NROC Water Treatment & Utilities",0,2,1,Nutrien, CO,4.3,0,5,10000+ Employees,2018,Company - Public,Farm Support,Agriculture,$5 to $10 billion (USD),4.0,4.1,4.1,3.8,3.9,2023-05-25 11:29:31.748813,yr
62,"$130,092 /yr (est.)",130092.0,Orbia - Treasury Director,5,1,1,Orbia, MA,3.8,0,70,10000+ Employees,1953,Company - Public,Chemical Manufacturing,Manufacturing,$10+ billion (USD),3.3,3.9,3.9,3.6,3.6,2023-05-25 11:29:35.485238,yr
63,"$196,613 /yr (est.)",196613.0,"Physician: Medical Oncologist, Twin Falls",0,2,-1,St. Luke's Health System, ID,3.9,0,121,10000+ Employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.8,3.6,3.8,3.5,3.8,2023-05-25 11:29:38.756832,yr
64,"$50,935 /yr (est.)",50935.0,Agronomy Technology Specialist,2,1,1,Evergreen FS, IL,5.0,0,97,201 to 500 Employees,1926,Company - Private,Farm Support,Agriculture,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-05-25 11:29:48.786416,yr
65,"$74,270 /yr (est.)",74270.0,Product Training Manager,3,1,1,Doosan Bobcat, ND,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.5,3.5,3.2,3.8,2023-05-25 11:29:51.456328,yr
66,"$54,852 /yr (est.)",54852.0,Commodity Marketing Specialist,2,1,1,Kentucky Farm Bureau Mutual Insurance Company, KY,3.8,0,80,501 to 1000 Employees,1943,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),3.6,3.3,4.4,4.1,4.1,2023-05-25 11:29:54.646870,yr
68,"$66,123 /yr (est.)",66123.0,Marketing Manager,8,1,1,Mira Safety, TX,4.4,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.4,4.4,4.3,4.5,2023-05-25 11:30:01.299150,yr
70,"$79,849 /yr (est.)",79849.0,"Consultant, Climate Change and Geospatial Solutions (Associate Level)",5,1,0,ERM Group, DC,3.7,0,52,5001 to 10000 Employees,1971,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),3.7,3.1,3.9,3.4,3.4,2023-05-25 11:30:09.168025,yr
71,"$71,665 /yr (est.)",71665.0,Strategic Sourcing Specialist - Metals,4,1,1,"Mayville Engineering Company, Inc.", WI,3.2,0,77,1001 to 5000 Employees,1946,Company - Public,Machinery Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.2,2.7,3.2,2.5,2.6,2023-05-25 11:30:12.105797,yr
73,"$134,325 /yr (est.)",134325.0,IT Procurement Senior Manager,10,1,1,PepsiCo, NY,4.0,0,58,10000+ Employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.9,3.9,3.6,3.5,2023-05-25 11:30:19.296854,yr
76,"$71,324 /yr (est.)",71324.0,Senior Benefits Analyst,5,1,1,AgFirst Farm Credit Bank, SC,4.3,0,107,201 to 500 Employees,1916,Company - Private,Banking & Lending,Financial Services,$500 million to $1 billion (USD),4.1,4.5,4.2,4.2,4.2,2023-05-25 11:30:31.661720,yr
77,"$74,270 /yr (est.)",74270.0,Senior Product Training Instructor,3,1,1,Doosan Bobcat, CO,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.5,3.5,3.2,3.8,2023-05-25 11:30:34.241265,yr
