,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
56,"$243,000 /yr (est.)",243000.0,Head of AI,-1,-1,-1,Sourcegraph, CA,3.3,0,10,51 to 200 Employees,2013,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.7,4.5,3.4,3.1,3.8,2023-05-25 09:39:36.954169,yr
57,"$72,000 /yr (est.)",72000.0,Video Conferencing Engineer,-1,-1,-1,NuAxis Innovations, CO,3.8,0,21,201 to 500 Employees,2002,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.8,3.3,3.8,3.6,3.7,2023-05-25 09:39:39.367524,yr
58,$16.70 /hr (est.),34736.0,Assistant Property Manager,-1,-1,-1,THF Housing Management Corporation, TX,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-25 09:39:41.709254,hr
59,"$78,246 /yr (est.)",78246.0,Affordable Housing - Project Manager,-1,-1,-1,Shangri-La Construction, CA,4.7,0,15,51 to 200 Employees,2008,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,4.5,4.5,4.5,4.5,4.4,2023-05-25 09:39:44.858286,yr
61,$15.00 /hr (est.),31200.0,Student Digital Assistant,-1,-1,-1,Florida International University, FL,4.2,0,58,1001 to 5000 Employees,1965,College / University,Colleges & Universities,Education,$100 to $500 million (USD),3.9,3.6,4.1,3.7,4.1,2023-05-25 09:39:57.743070,hr
62,"$243,000 /yr (est.)",243000.0,Head of AI,-1,-1,-1,Sourcegraph, CA,3.3,0,10,51 to 200 Employees,2013,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.7,4.5,3.4,3.1,3.8,2023-05-25 09:40:00.339275,yr
64,$62.50 /hr (est.),130000.0,"Course Developers (Part-Time), Professional and Continuing Education – Business & Leadership",-1,-1,-1,University of Washington, WA,4.2,0,162,10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.8,3.5,4.1,3.7,4.0,2023-05-25 09:40:06.154756,hr
65,"$235,875 /yr (est.)",235875.0,"Senior Staff Engineer, Java backend",-1,-1,-1,Samsung Research America, CA,4.1,0,35,1001 to 5000 Employees,1988,Subsidiary or Business Segment,Software Development,Information Technology,$25 to $100 million (USD),3.8,3.9,3.8,3.6,4.1,2023-05-25 09:40:08.557217,yr
66,"$89,264 /yr (est.)",89264.0,Software Engineers / Developers,-1,-1,-1,Visual Matrix, TX,3.9,0,23,51 to 200 Employees,2000,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3.6,3.7,3.5,3.9,3.7,2023-05-25 09:40:11.277263,yr
68,$16.70 /hr (est.),34736.0,Assistant Property Manager,-1,-1,-1,THF Housing Management Corporation, TX,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-25 09:40:16.850251,hr
