,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
86,"$51,616 /yr (est.)",51616.0,Quality Control Specialist,-1,-1,-1,"USTC
4.0", NJ,4.0,0,6,201 to 500 Employees,2017,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,3.0,3.0,3.0,4.0,5.0,2023-05-25 10:50:53.971195,yr
87,"$48,127 /yr (est.)",48127.0,Quality Specialist,-1,-1,-1,"Nestlé Nutrition R&D
4.1", MI,4.1,0,156,10000+ Employees,1867,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.8,4.1,3.7,3.6,2023-05-25 10:50:56.415076,yr
88,"$79,814 /yr (est.)",79814.0,NAO PAO Supply Chain Planner,-1,-1,-1,"CPChem
4.1", TX,4.1,0,23,1001 to 5000 Employees,2000,Company - Private,Chemical Manufacturing,Manufacturing,$10+ billion (USD),3.4,4.0,3.7,3.1,3.4,2023-05-25 10:50:59.085063,yr
89,"$70,339 /yr (est.)",70339.0,Strategic Sourcing Specialist,-1,-1,-1,"Specialty Product Technologies
3.2", NC,3.2,0,7,10000+ Employees,2016,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 billion (USD),3.2,3.5,3.4,2.9,3.3,2023-05-25 10:51:01.810016,yr
90,"$67,818 /yr (est.)",67818.0,Continuous Improvement Specialist,-1,-1,-1,"ABC Technologies
3.5", TN,3.5,0,49,5001 to 10000 Employees,1974,Company - Private,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable,3.4,3.3,3.2,3.0,3.1,2023-05-25 10:51:11.486764,yr
91,"$85,000 /yr (est.)",85000.0,Sourcing Specialist (Starlink),-1,-1,-1,"Swarm Technologies
4.2", CA,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,2023-05-25 10:51:13.899733,yr
92,"$72,274 /yr (est.)",72274.0,Supply Chain Project Specialist II,-1,-1,-1,"Abiomed
3.7", MA,3.7,0,42,1001 to 5000 Employees,1981,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.9,3.8,3.6,3.2,2.8,2023-05-25 10:51:16.426546,yr
93,"$80,079 /yr (est.)",80079.0,Sr. Associate Continuous Improvement Specialist,-1,-1,-1,"Pfizer
4.1", MA,4.1,0,174,10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.8,4.0,4.0,3.6,3.9,2023-05-25 10:51:19.033808,yr
94,"$74,000 /yr (est.)",74000.0,E-Commerce Specialist,-1,-1,-1,"EPE Industries USA Inc
3.1", CA,3.1,0,-1,-1,-1,-1,-1,-1,-1,2.8,3.3,2.9,2.6,3.4,2023-05-25 10:51:21.615089,yr
95,"$55,832 /yr (est.)",55832.0,Supply Chain Specialist,-1,-1,-1,"AMERICAN & EFIRD LLC
3.6", NC,3.6,0,55,5001 to 10000 Employees,1968,Company - Private,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD),3.0,3.5,3.2,3.3,3.2,2023-05-25 10:51:25.105150,yr
