,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
34,"$94,071 /yr (est.)",94071.0,Machine Learning Engineer,-1,-1,-1,"Universal Logic
4.4", NC,4.4,0,-1,-1,-1,-1,-1,-1,-1,4.3,3.8,4.0,4.4,3.7,2023-05-25 09:04:00.022105,yr
35,"$131,197 /yr (est.)",131197.0,Machine Learning Engineer/Scientist,-1,-1,-1,"GotIt!
4.0", CA,4.0,0,12,51 to 200 Employees,2011,Company - Private,Internet & Web Services,Information Technology,Less than $1 million (USD),3.8,3.4,3.9,3.7,3.6,2023-05-25 09:04:02.802369,yr
36,"$97,766 /yr (est.)",97766.0,Data Engineer,-1,-1,-1,"State Farm
3.6", GA,3.6,0,101,10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),3.5,3.4,3.6,3.3,3.5,2023-05-25 09:04:04.700213,yr
38,"$95,025 /yr (est.)",95025.0,Data Science Engineer,-1,-1,-1,"AI Cyber Solutions
4.5", FL,4.5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 09:04:10.237562,yr
39,"$97,177 /yr (est.)",97177.0,Data Engineer,-1,-1,-1,"FanDuel
4.0", GA,4.0,0,14,501 to 1000 Employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),3.7,3.8,4.0,3.7,3.8,2023-05-25 09:04:14.139038,yr
40,"$100,000 /yr (est.)",100000.0,Azure Data Engineer (remote),-1,-1,-1,"MultiPlan Inc.
3.8", NY,3.8,0,43,1001 to 5000 Employees,1980,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.8,3.7,3.9,3.6,3.9,2023-05-25 09:04:18.552690,yr
43,"$83,590 /yr (est.)",83590.0,Data Engineer,-1,-1,-1,"Chirality Research
5.0", TX,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.5,5.0,4.5,5.0,2023-05-25 09:04:41.441323,yr
44,"$86,462 /yr (est.)",86462.0,"Front End Software Engineer II, React",-1,-1,-1,"JPMorgan Chase Bank, N.A.
3.8", DE,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-05-25 09:04:44.277512,yr
46,"$121,000 /yr (est.)",121000.0,"Application Management Engineer, Senior",-1,-1,-1,"Blue Shield of California
3.9", CA,3.9,0,84,5001 to 10000 Employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,$10+ billion (USD),3.8,4.0,4.2,3.7,4.0,2023-05-25 09:04:49.934391,yr
47,"$100,348 /yr (est.)",100348.0,Software Engineer III - (Python) Data Quality,-1,-1,-1,"JPMorgan Chase Bank, N.A.
3.8", TX,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-05-25 09:04:53.547851,yr
48,"$130,824 /yr (est.)",130824.0,Senior Research Software Engineer,-1,-1,-1,"Princeton University
4.5", NJ,4.5,0,277,5001 to 10000 Employees,1746,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,4.1,4.2,4.1,3.8,3.9,2023-05-25 09:04:58.749615,yr
49,"$147,500 /yr (est.)",147500.0,Cloud Engineer (AWS),-1,-1,-1,"Doran Jones
3.9", NY,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.1,3.7,3.8,3.6,2023-05-25 09:05:04.121203,yr
51,"$97,895 /yr (est.)",97895.0,Software Developer (Remote),-1,-1,-1,"Everi
3.5", NV,3.5,0,8,1001 to 5000 Employees,2015,Company - Public,Consumer Product Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.3,3.2,3.5,3.4,3.5,2023-05-25 09:05:12.054678,yr
53,"$80,604 /yr (est.)",80604.0,Remote Full-stack JS Developer,-1,-1,-1,"Scopic
4.8", MA,4.8,0,17,201 to 500 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.5,4.0,4.7,4.7,4.6,2023-05-25 09:05:18.616881,yr
54,"$80,600 /yr (est.)",80600.0,Full Stack Web Developer,-1,-1,-1,S.M.A.R.T., AZ,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 09:05:21.211050,yr
55,"$95,720 /yr (est.)",95720.0,Software Engineer (Data Science),-1,-1,-1,"Crane Payment Innovations
2.8", PA,2.8,0,10,1001 to 5000 Employees,2013,Company - Public,Electronics Manufacturing,Manufacturing,$1 to $5 billion (USD),2.8,3.0,2.7,2.4,3.1,2023-05-25 09:05:26.390373,yr
56,"$122,500 /yr (est.)",122500.0,Full Stack Engineer - Digital Order Management,-1,-1,-1,"Costco Wholesale
4.0", WA,4.0,0,47,10000+ Employees,1976,Company - Public,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,3.9,4.3,3.8,3.4,3.4,2023-05-25 09:05:28.784382,yr
57,"$136,440 /yr (est.)",136440.0,Data Platform Engineer,-1,-1,-1,"GSK
4.1", WA,4.1,0,193,10000+ Employees,1830,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.8,3.9,4.0,3.6,3.9,2023-05-25 09:05:31.311454,yr
58,"$129,480 /yr (est.)",129480.0,Senior Software Engineer,-1,-1,-1,"U.S. Bank National Association
3.7",Remote,3.7,1,160,10000+ Employees,1863,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.5,3.8,3.4,3.7,2023-05-25 09:05:33.871151,yr
59,"$115,175 /yr (est.)",115175.0,Trading Software Engineer,-1,-1,-1,"Voloridge Investment Management
4.7", FL,4.7,0,14,51 to 200 Employees,2009,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,4.6,4.5,4.2,4.6,4.7,2023-05-25 09:05:36.618366,yr
61,"$86,462 /yr (est.)",86462.0,"Front End Software Engineer II, React",-1,-1,-1,"JPMorgan Chase Bank, N.A.
3.8", DE,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-05-25 09:05:49.622524,yr
66,"$97,766 /yr (est.)",97766.0,Data Engineer,-1,-1,-1,"State Farm
3.6", GA,3.6,0,101,10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),3.5,3.4,3.6,3.3,3.5,2023-05-25 09:06:06.990908,yr
67,"$100,000 /yr (est.)",100000.0,Azure Data Engineer (remote),-1,-1,-1,"MultiPlan Inc.
3.8", NY,3.8,0,43,1001 to 5000 Employees,1980,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.8,3.7,3.9,3.6,3.9,2023-05-25 09:06:09.247662,yr
69,"$116,977 /yr (est.)",116977.0,Lead Data Engineer,-1,-1,-1,"JPMorgan Chase Bank, N.A.
3.8", DE,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-05-25 09:06:15.199860,yr
71,"$123,528 /yr (est.)",123528.0,"Cloud/Backend Software Engineering, Lead Software Engineer",-1,-1,-1,"JPMorgan Chase Bank, N.A.
3.8", DE,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-05-25 09:06:20.958039,yr
72,"$80,604 /yr (est.)",80604.0,Remote Full-stack JS Developer,-1,-1,-1,"Scopic
4.8", MA,4.8,0,17,201 to 500 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.5,4.0,4.7,4.7,4.6,2023-05-25 09:06:23.266808,yr
73,"$110,691 /yr (est.)",110691.0,SENIOR MACHINE LEARNING ENGINEER (REMOTE OPPORTUNITY),-1,-1,-1,"Hyatt Corporate Office, Chicago
4.0", IL,4.0,0,66,10000+ Employees,1957,Company - Public,Hotels & Resorts,Hotels & Travel Accommodation,$1 to $5 billion (USD),4.0,3.8,4.0,3.7,3.5,2023-05-25 09:06:26.014599,yr
74,"$95,533 /yr (est.)",95533.0,Software Engineer III: Backend/AWS Developer,-1,-1,-1,"JPMorgan Chase Bank, N.A.
3.8", TX,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-05-25 09:06:28.458398,yr
76,"$168,875 /yr (est.)",168875.0,"Java and AWS/Cloud, Lead Software Engineer",-1,-1,-1,"JPMorgan Chase Bank, N.A.
3.8", DE,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-05-25 09:06:34.171946,yr
78,"$111,344 /yr (est.)",111344.0,Computer Vision Engineer,-1,-1,-1,"Bigbear.ai
3.2", MD,3.2,0,3,501 to 1000 Employees,2020,Company - Public,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.0,3.6,3.2,3.0,3.6,2023-05-25 09:06:40.694239,yr
80,"$98,869 /yr (est.)",98869.0,Senior Data Engineer (Remote),-1,-1,-1,"Enova International
4.0", IL,4.0,0,19,1001 to 5000 Employees,2004,Company - Public,Banking & Lending,Financial Services,$1 to $5 billion (USD),3.8,3.6,4.1,3.8,4.0,2023-05-25 09:06:46.805371,yr
81,"$84,820 /yr (est.)",84820.0,React Developer,-1,-1,-1,"SLM Facilities
3.6", PA,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.9,3.9,3.8,3.8,2023-05-25 09:06:49.557219,yr
82,"$145,000 /yr (est.)",145000.0,Full Stack Engineer - Digital Site Development,-1,-1,-1,"Costco Wholesale
4.0", WA,4.0,0,47,10000+ Employees,1976,Company - Public,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,3.9,4.3,3.8,3.4,3.4,2023-05-25 09:06:53.151727,yr
83,"$119,550 /yr (est.)",119550.0,"Machine Learning Engineer, Mid",-1,-1,-1,"Booz Allen Hamilton
4.2", VA,4.2,0,109,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),4.1,3.9,4.3,3.9,4.3,2023-05-25 09:06:55.981375,yr
85,"$95,720 /yr (est.)",95720.0,Software Engineer (Data Science),-1,-1,-1,"Crane Payment Innovations
2.8", PA,2.8,0,10,1001 to 5000 Employees,2013,Company - Public,Electronics Manufacturing,Manufacturing,$1 to $5 billion (USD),2.8,3.0,2.7,2.4,3.1,2023-05-25 09:07:02.512353,yr
86,"$120,000 /yr (est.)",120000.0,Senior Software Engineer,-1,-1,-1,"Wolfe
2.8",Remote,2.8,1,28,1 to 50 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$5 to $25 million (USD),2.4,2.5,2.5,2.3,2.8,2023-05-25 09:07:05.381764,yr
89,"$122,197 /yr (est.)",122197.0,Senior Software Engineer,-1,-1,-1,"United States Gold Bureau
3.2", TX,3.2,0,20,51 to 200 Employees,2003,Company - Private,Other Retail Stores,Retail & Wholesale,Unknown / Non-Applicable,2.9,3.4,3.3,3.3,3.6,2023-05-25 09:07:15.903322,yr
90,"$86,462 /yr (est.)",86462.0,"Front End Software Engineer II, React",-1,-1,-1,"JPMorgan Chase Bank, N.A.
3.8", DE,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-05-25 09:07:26.100618,yr
94,"$101,300 /yr (est.)",101300.0,Software Engineer III - (Java/Cloud/API),-1,-1,-1,"JPMorgan Chase Bank, N.A.
3.8", OH,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-05-25 09:07:48.810157,yr
95,"$110,691 /yr (est.)",110691.0,SENIOR MACHINE LEARNING ENGINEER (REMOTE OPPORTUNITY),-1,-1,-1,"Hyatt Corporate Office, Chicago
4.0", IL,4.0,0,66,10000+ Employees,1957,Company - Public,Hotels & Resorts,Hotels & Travel Accommodation,$1 to $5 billion (USD),4.0,3.8,4.0,3.7,3.5,2023-05-25 09:07:51.549965,yr
98,"$123,528 /yr (est.)",123528.0,"Cloud/Backend Software Engineering, Lead Software Engineer",-1,-1,-1,"JPMorgan Chase Bank, N.A.
3.8", DE,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-05-25 09:08:02.573795,yr
99,"$136,440 /yr (est.)",136440.0,Data Platform Engineer,-1,-1,-1,"GSK
4.1", WA,4.1,0,193,10000+ Employees,1830,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.8,3.9,4.0,3.6,3.9,2023-05-25 09:08:05.747275,yr
100,"$179,153 /yr (est.)",179153.0,"Machine Learning Engineer, Trust and Safety - USDS",-1,-1,-1,"TikTok
3.6", WA,3.6,0,7,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.4,3.6,3.5,3.1,3.0,2023-05-25 09:08:08.603479,yr
101,"$95,533 /yr (est.)",95533.0,Software Engineer III: Backend/AWS Developer,-1,-1,-1,"JPMorgan Chase Bank, N.A.
3.8", TX,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-05-25 09:08:11.334793,yr
