,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
378,"$86,221 /yr (est.)",86221.0,Senior I/E Engineer - Ethane Cracker Unit,-1,-1,-1,TotalEnergies, TX,3.9,0,99,10000+ Employees,1924,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$25 to $100 million (USD),3.5,3.7,3.6,3.3,3.6,2023-05-25 10:36:54.979225,yr
379,"$156,000 /yr (est.)",156000.0,Regional Director of Maintenance - West,-1,-1,-1,Medline Industries Inc, CA,3.6,0,57,10000+ Employees,1966,Company - Private,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),3.6,3.5,3.5,3.3,3.2,2023-05-25 10:37:00.038365,yr
380,"$142,000 /yr (est.)",142000.0,Senior Rotating Equipment Maintenance Engineer,-1,-1,-1,OCI Beaumont, TX,3.1,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.5,2.7,2.8,3.4,2023-05-25 10:37:05.124287,yr
381,"$84,064 /yr (est.)",84064.0,Mechanical Maintenance Engineer,-1,-1,-1,LyondellBasell Industries, TX,4.0,0,16,10000+ Employees,2007,Company - Public,Chemical Manufacturing,Manufacturing,$10+ billion (USD),3.6,4.2,3.7,3.3,3.5,2023-05-25 10:37:11.698041,yr
382,"$70,992 /yr (est.)",70992.0,Facilities Engineer - Mechanical,-1,-1,-1,"Honda Development and Manufacturing of America, LLC.", AL,4.0,0,75,10000+ Employees,1948,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,3.6,3.9,3.7,3.4,3.5,2023-05-25 10:37:17.124015,yr
383,"$75,269 /yr (est.)",75269.0,Engineering Maintenance Technician,-1,-1,-1,Tesla, CA,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.4,3.1,2.9,2023-05-25 10:37:22.464158,yr
384,"$130,000 /yr (est.)",130000.0,Maintenance Manager,-1,-1,-1,Nor-Cal Beverage, CA,2.8,0,-1,-1,-1,-1,-1,-1,-1,2.6,3.0,2.5,2.3,2.1,2023-05-25 10:37:27.254074,yr
385,"$108,650 /yr (est.)",108650.0,Building Automation Engineer,-1,-1,-1,National Renewable Energy Laboratory, CO,3.9,0,45,1001 to 5000 Employees,1978,Government,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,3.7,3.6,4.0,3.3,4.0,2023-05-25 10:37:33.570439,yr
386,"$143,375 /yr (est.)",143375.0,Maintenance Manager,-1,-1,-1,Eaton Corporation, NC,3.9,0,112,10000+ Employees,1911,Company - Private,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.6,3.6,3.9,3.4,3.7,2023-05-25 10:37:38.958343,yr
387,"$75,000 /yr (est.)",75000.0,Associate Maintenance Engineer,-1,-1,-1,Calportland, CA,3.7,0,132,1001 to 5000 Employees,1891,Company - Private,Metal & Mineral Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.2,3.7,3.4,3.0,2.9,2023-05-25 10:37:44.074458,yr
