,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
71,"$62,366 /yr (est.)",62366.0,Digital Marketing Analyst,3,1,-1,"Kohler Credit Union
3.5", WI,3.5,0,-1,-1,-1,-1,-1,-1,-1,2.9,2.5,3.5,2.9,3.7,2023-05-25 00:01:31.924558,yr
74,"$58,494 /yr (est.)",58494.0,Digital Marketing Producer II (Analyst),5,1,1,"Columbia Credit Union in Washington
3.6", WA,3.6,0,71,201 to 500 Employees,1952,Nonprofit Organization,Banking & Lending,Financial Services,$5 to $25 million (USD),3.2,3.7,3.6,3.4,3.3,2023-05-25 00:01:42.359070,yr
75,"$58,505 /yr (est.)",58505.0,"DATA ANALYST, DIGITAL MARKETING",3,1,1,"TBN
3.4", CA,3.4,0,50,501 to 1000 Employees,1973,Nonprofit Organization,Broadcast Media,Media & Communication,$100 to $500 million (USD),3.0,3.1,3.7,3.1,3.2,2023-05-25 00:01:44.873716,yr
76,"$45,000 /yr (est.)",45000.0,Digital Marketing Analyst,-1,-1,-1,"J&L Marketing
3.4", KY,3.4,0,32,201 to 500 Employees,1991,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),3.1,3.2,3.2,3.0,3.1,2023-05-25 00:01:47.405175,yr
77,"$100,000 /yr (est.)",100000.0,Senior Data Analyst - Marketing,4,1,1,"FIGS
3.5", CA,3.5,0,10,201 to 500 Employees,2013,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$100 to $500 million (USD),3.5,3.4,3.4,3.1,3.1,2023-05-25 00:01:50.520783,yr
78,"$66,435 /yr (est.)",66435.0,Digital Marketing Analyst,-1,-1,-1,"Equality Health
3.1", AZ,3.1,0,-1,-1,-1,-1,-1,-1,-1,3.2,3.4,3.2,2.5,3.2,2023-05-25 00:01:53.534789,yr
79,"$61,313 /yr (est.)",61313.0,Digital Marketing Analyst II,4,1,0,"PRH Investments, LLC
3.1", FL,3.1,0,44,201 to 500 Employees,1979,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),3.5,3.6,3.3,2.9,3.1,2023-05-25 00:01:57.034290,yr
80,"$63,925 /yr (est.)",63925.0,MARKETING ANALYST,3,1,1,"Mindgruve
3.9", CA,3.9,0,22,51 to 200 Employees,2001,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),3.6,3.5,4.1,3.9,3.7,2023-05-25 00:01:59.892070,yr
81,"$81,252 /yr (est.)",81252.0,Senior Marketing Reporting Analyst,4,1,1,"Careington
3.5", TX,3.5,0,27,201 to 500 Employees,1996,Company - Private,Beauty & Wellness,Personal Consumer Services,$100 to $500 million (USD),3.3,3.3,3.3,3.0,3.7,2023-05-25 00:02:02.574255,yr
82,"$58,584 /yr (est.)",58584.0,Marketing & Information Analyst,0,2,-1,"Chariot Logistics
3.9", TN,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.3,2.9,4.0,3.3,3.6,2023-05-25 00:02:05.098726,yr
84,"$59,401 /yr (est.)",59401.0,Digital Marketing Analyst,0,1,1,"Hamilton Beach Brands, Inc.
3.3", VA,3.3,0,119,201 to 500 Employees,1904,Company - Public,Consumer Product Manufacturing,Manufacturing,$100 to $500 million (USD),2.7,3.7,3.2,2.7,3.3,2023-05-25 00:02:13.124175,yr
85,"$70,249 /yr (est.)",70249.0,Senior Paid Search Analyst - Digital Marketing,6,1,1,"Dealer Teamwork LLC
4.5", MN,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.4,4.2,4.5,4.4,4.1,2023-05-25 00:02:17.102512,yr
