,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
480,"$142,000 /yr (est.)",142000.0,"Developer Technology Engineer, AI - New College Grad 2023",0,1,-1,"NVIDIA
4.6", CA,4.6,0,30,10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),4.5,4.5,4.6,4.4,4.2,2023-05-24 22:21:16.456303,yr
481,"$137,689 /yr (est.)",137689.0,"Machine Learning Engineer – 3D computer vision, Autopilot AI",0,2,-1,"Tesla
3.6", CA,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.4,3.1,2.9,2023-05-24 22:21:22.434883,yr
482,"$101,663 /yr (est.)",101663.0,Software Engineer C++,-1,-1,-1,"Seegrid
3.5", PA,3.5,0,20,201 to 500 Employees,2003,Company - Private,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable,3.3,3.5,3.8,3.2,3.8,2023-05-24 22:21:28.400577,yr
483,"$132,500 /yr (est.)",132500.0,"Software Engineer, Full Stack (Starshield)",-1,-1,-1,"Swarm Technologies
4.2", CA,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,2023-05-24 22:21:34.143579,yr
484,"$88,154 /yr (est.)",88154.0,Systems Engineer/ Medical Devices,0,1,-1,"Analog Devices
4.1", MA,4.1,0,58,10000+ Employees,1965,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.7,4.0,3.6,3.9,2023-05-24 22:21:39.497416,yr
486,"$103,172 /yr (est.)",103172.0,Artificial Intelligence & Machine Learning Research Engineer- Autonomous Systems,0,1,-1,"Aurora Flight Sciences
4.1", MA,4.1,0,34,501 to 1000 Employees,1989,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.1,3.9,4.0,3.8,4.3,2023-05-24 22:21:52.880229,yr
487,"$130,000 /yr (est.)",130000.0,Computer Vision and Machine Learning Engineer,3,1,1,"Stratom, Inc.
5.0", CO,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.3,5.0,5.0,5.0,2023-05-24 22:21:58.926433,yr
488,$74.50 /hr (est.),154960.0,Frontend Engineer,5,2,-1,"Ryzen Solutions
4.2", CA,4.2,0,24,51 to 200 Employees,1999,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),4.3,4.0,4.2,4.0,4.1,2023-05-24 22:22:05.275571,hr
489,"$67,831 /yr (est.)",67831.0,Student Programs Engineer - Robotics and Autonomous Systems,3,1,-1,"MathWorks
4.5", MA,4.5,0,39,501 to 1000 Employees,1984,Company - Private,Software Development,Information Technology,$1 to $5 billion (USD),4.1,4.0,4.6,4.3,4.7,2023-05-24 22:22:12.987584,yr
490,"$70,303 /yr (est.)",70303.0,Autonomous Systems,0,1,-1,"Honda Research Institute USA
4.4", CA,4.4,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.7,3.9,3.9,4.4,2023-05-24 22:22:19.040906,yr
491,"$84,633 /yr (est.)",84633.0,Software Test Engineer I - Robotics,0,1,-1,"Hyster-Yale Group
3.5", OR,3.5,0,38,5001 to 10000 Employees,1985,Company - Public,Machinery Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.3,3.4,3.3,2.9,3.7,2023-05-24 22:22:25.262308,yr
492,"$100,000 /yr (est.)",100000.0,Software Quality Assurance (Manual/Automation),5,1,-1,"Abalta Technologies Inc
4.3", CA,4.3,0,20,51 to 200 Employees,2003,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD),3.8,3.3,4.3,4.1,4.1,2023-05-24 22:22:31.218917,yr
493,"$80,750 /yr (est.)",80750.0,Equipment Engineer I (Summer 2023 Start),2,1,-1,"Applied Materials
4.1", NY,4.1,0,56,10000+ Employees,1967,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.8,3.9,3.6,3.6,2023-05-24 22:22:48.047563,yr
494,$31.13 /hr (est.),64750.4,Autonomous Vehicle Operations Specialist,5,1,0,"Aurora Innovation
3.9", TX,3.9,0,6,201 to 500 Employees,2017,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.6,4.1,3.9,3.9,3.8,2023-05-24 22:22:54.090047,hr
495,"$78,000 /yr (est.)",78000.0,Entry Level Design and Analysis Engineer,0,1,-1,"BOEING
3.9", AZ,3.9,0,107,10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.8,3.9,3.5,3.1,3.9,2023-05-24 22:23:00.184750,yr
496,"$105,000 /yr (est.)",105000.0,Trajectory Analysis Engineer,1,1,-1,"Swarm Technologies
4.2", CA,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,2023-05-24 22:23:06.203716,yr
497,"$232,500 /yr (est.)",232500.0,Autonomous Vehicle Test Engineer,2,2,1,"Applied Intuition
3.8", CA,3.8,0,6,51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.4,3.9,4.2,4.1,3.0,2023-05-24 22:23:12.271855,yr
498,$34.15 /hr (est.),71032.0,Optical Devices Process Technician,4,1,0,"Applied Materials
4.1", CA,4.1,0,56,10000+ Employees,1967,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.8,3.9,3.6,3.6,2023-05-24 22:23:18.454979,hr
499,"$147,000 /yr (est.)",147000.0,Autonomous Vehicle System Behavior Engineer,0,1,1,"Zoox
4.1", CA,4.1,0,9,1001 to 5000 Employees,2014,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.8,3.8,4.0,3.5,3.5,2023-05-24 22:23:24.420345,yr
